id,high,low,medium
0,6.176039e-10,0.9969374,0.003062654
1,0.0001310206,0.00500087,0.99486816
2,2.594596e-07,0.999556,0.0004437034
3,4.4210694e-05,0.6821136,0.31784222
4,2.4861599e-11,0.99994004,5.9957187e-05
5,0.08172311,0.00019869937,0.9180782
6,1.2202192e-06,0.99999213,6.695971e-06
7,0.008983458,5.6046047e-06,0.9910109
8,0.004277601,8.595413e-06,0.99571383
9,0.015315603,1.8527082e-05,0.9846659
10,0.07950353,0.00012949703,0.92036694
11,0.0042254436,0.019595187,0.97617936
12,0.00017606688,0.025092958,0.97473097
13,0.004600184,0.0035058588,0.99189395
14,0.0013726817,4.838876e-07,0.9986268
15,1.441628e-18,0.99999833,1.6131066e-06
16,3.6072285e-07,0.9999747,2.493729e-05
17,0.00026508683,0.01778088,0.981954
18,0.024278348,0.00032175967,0.9753999
19,0.00052653963,0.33444136,0.6650321
20,0.0006655126,0.0001106941,0.9992238
21,0.28132415,4.3098746e-05,0.7186328
22,1.8032588e-07,0.9717557,0.028244138
23,1.3376244e-06,0.9690067,0.030991893
24,0.683767,1.6280244e-09,0.31623295
25,7.5632045e-08,0.99985766,0.00014214446
26,0.000750684,0.30136648,0.69788283
27,0.0016001349,0.005197256,0.99320257
28,2.157319e-07,0.99999654,3.205162e-06
29,0.16694662,0.00010721711,0.83294624
30,1.1174391e-05,0.90449715,0.09549165
31,0.026351172,5.5576977e-05,0.97359324
32,0.002058235,6.395554e-05,0.99787784
33,0.0048017423,6.903735e-06,0.99519134
34,0.017934524,0.0006440239,0.9814215
35,1.4956443e-08,0.9920684,0.007931595
36,0.26193365,3.4668254e-05,0.7380316
37,2.1470653e-07,0.99999297,6.7362707e-06
38,0.00011166394,0.5747748,0.4251136
39,0.03320919,8.540455e-06,0.9667822
40,1.3471882e-07,0.9964318,0.0035680376
41,0.015044483,0.00382384,0.9811317
42,7.456134e-09,0.9990971,0.0009029176
43,6.4125845e-05,0.0009710678,0.9989648
44,0.14070328,0.0001785624,0.8591181
45,8.2669025e-08,0.9754063,0.024593668
46,0.00020370695,0.16222373,0.83757263
47,0.03874334,8.873543e-05,0.9611679
48,0.011959864,0.0015992097,0.98644096
49,0.45086655,1.11773825e-05,0.5491223
50,0.13099115,0.7171018,0.151907
51,4.1944795e-06,0.9975266,0.002469261
52,0.0074690036,2.6669127e-06,0.9925283
53,1.0004629e-08,0.9991968,0.00080319843
54,1.8082409e-07,0.8509618,0.14903797
55,0.09259512,8.073617e-05,0.90732414
56,2.310543e-07,0.008981192,0.99101865
57,0.0049348334,0.0002910988,0.99477404
58,0.08365196,0.00014488706,0.9162032
59,1.0672612e-05,0.64832294,0.35166645
60,0.028694443,9.90505e-06,0.9712956
61,8.050621e-09,0.9992957,0.00070429523
